TIME;SELECTED TURBINE SPEED;1r;2r;3r;4r;potencia
20/01/2023 10:20;122,011086;15,327787;15,396188;24,647402;23,837666;0
20/01/2023 10:30;122,07169;14,903395;15,921692;23,844242;24,507805;0
20/01/2023 10:40;122,04353;14,8851385;16,20887;24,632914;23,758886;0
20/01/2023 10:50;121,9859;14,972964;15,964352;24,62961;24,058784;0
20/01/2023 11:00;122,09854;15,462714;16,46543;24,226688;23,475922;0
20/01/2023 11:10;122,09805;15,679944;16,046154;24,298492;24,062122;0
20/01/2023 11:20;121,98871;14,752693;15,477023;24,74329;23,199724;0
20/01/2023 11:30;121,99302;15,061657;15,902525;24,071281;23,985325;0
20/01/2023 11:40;121,97815;15,384209;15,931964;25,077991;23,803526;0
20/01/2023 11:50;122,01162;14,527402;15,780898;24,20191;23,721092;0
20/01/2023 12:00;121,99217;15,091959;15,524842;24,962196;23,985306;0
20/01/2023 12:10;121,97759;15,340764;16,131407;23,931934;23,52352;0
20/01/2023 12:20;121,973076;15,103804;15,921145;23,667778;23,495844;0
20/01/2023 12:30;122,07892;15,542685;15,4146595;24,256313;23,881195;0
20/01/2023 12:40;121,989136;15,009886;15,920067;23,827929;23,548655;0
20/01/2023 12:50;121,976425;15,070892;15,520381;24,417057;23,682089;0
20/01/2023 13:00;122,02551;15,281314;15,6844425;23,952005;23,965187;0
20/01/2023 13:10;122,00746;15,535018;15,66357;23,829819;23,94734;0
20/01/2023 13:20;122,04633;15,270855;15,816383;24,154852;24,318563;0
20/01/2023 13:30;122,06366;15,470773;15,466131;24,559273;23,859867;0
20/01/2023 13:40;121,967224;15,124623;16,139555;24,716368;23,589308;0
20/01/2023 13:50;121,95916;15,549313;15,937251;24,527525;23,3721;0
20/01/2023 14:00;122,02007;15,001672;15,579555;23,738008;23,66722;0
20/01/2023 14:10;122,00032;15,304446;15,7979;24,419113;23,47885;0
20/01/2023 14:20;122,024475;15,323698;15,514386;24,648043;23,86221;0
20/01/2023 14:30;121,99715;15,04534;15,659652;24,254452;24,592522;0
20/01/2023 14:40;121,997475;15,368178;15,841685;24,265013;23,38589;0
20/01/2023 14:50;122,03496;14,840213;15,876055;24,542503;23,573866;0
20/01/2023 15:00;122,08034;15,092934;15,904738;24,372082;24,174648;0
20/01/2023 15:10;122,035934;15,499548;15,664554;24,266113;24,057278;0
20/01/2023 15:20;121,99743;15,704232;15,440408;24,34093;23,414528;0
20/01/2023 15:30;122,0043;15,1834345;15,857743;24,267973;23,779806;0
20/01/2023 15:40;121,96633;15,235996;15,8862705;24,802433;23,385647;0
20/01/2023 15:50;122,030426;15,49686;15,82417;24,205553;24,145596;0
20/01/2023 16:00;122,03957;15,106448;15,691562;24,642208;24,000484;0
20/01/2023 16:10;121,996254;15,471701;15,569651;23,851673;23,822449;0
20/01/2023 16:20;121,97796;15,126819;15,740502;24,293135;24,162079;0
20/01/2023 16:30;122,009605;15,199362;15,847536;24,288614;23,590067;0
20/01/2023 16:40;121,99866;15,315914;15,803067;24,191952;23,625185;0
20/01/2023 16:50;122,06681;15,43866;15,752501;24,706944;23,935404;0
20/01/2023 17:00;122,052956;15,085306;16,06185;24,643427;23,825409;0
20/01/2023 17:10;122,015526;15,245289;15,626867;24,459562;23,969725;0
20/01/2023 17:20;122,01158;15,241376;15,939676;23,179111;23,639254;0
20/01/2023 17:30;122,04827;14,967659;15,669822;24,129839;23,974442;0
20/01/2023 17:40;121,99623;15,14217;15,630278;24,444822;24,130686;0
20/01/2023 17:50;122,00359;15,531171;16,310946;24,546032;23,061562;0
20/01/2023 18:00;122,037224;15,478858;15,929511;24,331408;23,603207;0
20/01/2023 18:10;122,01902;15,3077135;15,834776;24,827795;23,96898;0
